,City,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness,Date,Country
0,Port Alfred,-33.59,26.89,18.23,28,4.87,0,2020-07-12,ZA
1,Busselton,-33.65,115.33,16.11,45,10.55,1,2020-07-12,AU
2,Puerto Ayora,-0.74,-90.35,18.33,97,1.51,61,2020-07-12,EC
3,New Norfolk,-42.78,147.06,5.56,89,0.1,80,2020-07-12,AU
4,Jamestown,42.1,-79.24,18.33,100,2.6,1,2020-07-12,US
5,Kodiak,57.79,-152.41,13.0,82,1.5,90,2020-07-12,US
6,Port Elizabeth,-33.92,25.57,16.0,44,5.1,3,2020-07-12,ZA
7,Sinnamary,5.38,-52.95,25.98,86,2.99,34,2020-07-12,GF
8,Linhares,-19.39,-40.07,21.01,81,1.63,0,2020-07-12,BR
9,Saint-Philippe,-21.36,55.77,25.0,65,4.1,26,2020-07-12,RE
10,Punta Arenas,-53.15,-70.92,-2.0,86,5.1,32,2020-07-12,CL
11,Barrow,71.29,-156.79,1.0,86,4.1,75,2020-07-12,US
12,Butaritari,3.07,172.79,28.7,78,6.07,31,2020-07-12,KI
13,Pringsewu,-5.36,104.97,25.41,87,0.54,27,2020-07-12,ID
14,Vaini,-21.2,-175.2,22.0,83,4.6,75,2020-07-12,TO
15,Isangel,-19.55,169.27,22.71,83,6.49,12,2020-07-12,VU
16,Kapaa,22.08,-159.32,26.0,78,7.7,40,2020-07-12,US
17,Ponta Do Sol,32.67,-17.1,24.0,69,8.7,20,2020-07-12,PT
18,Keokuk,40.4,-91.38,18.0,100,2.6,1,2020-07-12,US
19,Amparafaravola,-17.58,48.22,22.6,53,5.08,44,2020-07-12,MG
20,Chokurdakh,70.63,147.92,17.06,58,5.54,55,2020-07-12,RU
21,Hithadhoo,-0.6,73.08,29.55,70,3.22,84,2020-07-12,MV
22,Nongan,44.38,125.17,28.0,58,2.0,79,2020-07-12,CN
23,Lagoa,39.05,-27.98,20.24,82,6.86,2,2020-07-12,PT
24,Along,28.17,94.77,23.76,90,0.15,100,2020-07-12,IN
25,Manali,13.17,80.27,36.0,50,3.1,40,2020-07-12,IN
26,Mar Del Plata,-38.0,-57.56,4.0,64,4.1,32,2020-07-12,AR
27,Sao Filipe,14.9,-24.5,22.99,79,3.95,42,2020-07-12,CV
28,Hermanus,-34.42,19.23,17.22,43,0.89,0,2020-07-12,ZA
29,Rumoi,43.93,141.64,14.79,83,2.99,3,2020-07-12,JP
30,Rikitea,-23.12,-134.97,21.45,68,6.14,95,2020-07-12,PF
31,Guerrero Negro,27.98,-114.06,21.55,65,4.23,1,2020-07-12,MX
32,Faanui,-16.48,-151.75,25.9,73,8.85,62,2020-07-12,PF
33,Kirakira,-10.45,161.92,25.99,85,5.63,97,2020-07-12,SB
34,Bluff,-46.6,168.33,3.89,83,1.34,74,2020-07-12,NZ
35,Georgetown,5.41,100.34,30.0,70,2.1,20,2020-07-12,MY
36,Sabha,27.04,14.43,37.78,10,2.31,0,2020-07-12,LY
37,Santa Quiteria,-4.33,-40.16,25.66,62,2.51,32,2020-07-12,BR
38,East London,-33.02,27.91,19.0,31,4.6,0,2020-07-12,ZA
39,Eagle Pass,28.71,-100.5,26.67,70,0.89,0,2020-07-12,US
40,Muyezerskiy,63.93,31.65,19.25,45,4.11,29,2020-07-12,RU
41,Lolodorf,3.23,10.73,26.72,72,1.74,87,2020-07-12,CM
42,Rosetta,31.4,30.42,29.0,62,5.7,40,2020-07-12,EG
43,Mount Isa,-20.73,139.5,16.0,29,3.6,0,2020-07-12,AU
44,Vigrestad,58.57,5.7,12.22,99,4.02,96,2020-07-12,NO
45,High Prairie,55.43,-116.49,9.19,95,2.02,75,2020-07-12,CA
46,Port Hedland,-20.32,118.57,19.0,68,1.0,36,2020-07-12,AU
47,Pisco,-13.7,-76.22,11.67,87,2.1,2,2020-07-12,PE
48,Erenhot,43.65,111.98,25.33,46,6.49,99,2020-07-12,CN
49,Bathsheba,13.22,-59.52,28.0,83,6.7,40,2020-07-12,BB
50,Tasiilaq,65.61,-37.64,5.0,86,2.6,80,2020-07-12,GL
51,Scarborough,54.28,-0.4,16.67,61,0.45,81,2020-07-12,GB
52,Sassandra,4.95,-6.08,26.16,70,3.05,81,2020-07-12,CI
53,Ornskoldsvik,63.29,18.72,15.0,58,0.39,100,2020-07-12,SE
54,Albany,42.6,-73.97,23.89,77,0.45,76,2020-07-12,US
55,Carnarvon,-24.87,113.63,21.0,64,4.6,0,2020-07-12,AU
56,Rawlins,41.79,-107.24,12.0,27,2.23,1,2020-07-12,US
57,Borovoy,55.43,86.08,24.0,53,3.0,40,2020-07-12,RU
58,Ushuaia,-54.8,-68.3,2.0,80,9.3,40,2020-07-12,AR
59,Ishigaki,24.34,124.16,31.0,79,4.1,20,2020-07-12,JP
60,Hilo,19.73,-155.09,23.0,83,2.1,90,2020-07-12,US
61,Hobart,-42.88,147.33,5.56,93,2.6,20,2020-07-12,AU
62,Kaitangata,-46.28,169.85,3.89,78,1.79,47,2020-07-12,NZ
63,Bethel,41.37,-73.41,21.0,83,4.6,1,2020-07-12,US
64,Caravelas,-17.71,-39.25,22.62,76,0.34,35,2020-07-12,BR
65,Cabo San Lucas,22.89,-109.91,26.11,71,5.98,0,2020-07-12,MX
66,Ukiah,39.15,-123.21,16.67,63,1.45,1,2020-07-12,US
67,Mataura,-46.19,168.86,3.89,83,1.34,50,2020-07-12,NZ
68,Bredasdorp,-34.53,20.04,17.0,45,5.1,0,2020-07-12,ZA
69,Tottori,35.5,134.23,22.0,78,3.1,75,2020-07-12,JP
70,Longyearbyen,78.22,15.64,9.0,70,3.1,75,2020-07-12,SJ
71,Nara,34.69,135.8,25.0,61,4.6,75,2020-07-12,JP
72,Atuona,-9.8,-139.03,26.22,79,7.94,83,2020-07-12,PF
73,Bauchi,10.5,10.0,25.15,81,1.84,100,2020-07-12,NG
74,Nueva Loja,0.08,-76.88,18.64,96,0.31,15,2020-07-12,EC
75,Bengkulu,-3.8,102.27,26.86,78,0.71,60,2020-07-12,ID
76,Warrnambool,-38.38,142.48,9.44,93,3.81,0,2020-07-12,AU
77,San Patricio,19.22,-104.7,26.02,84,0.93,100,2020-07-12,MX
78,Jumla,29.27,82.18,24.44,93,2.73,35,2020-07-12,NP
79,Kamenka,51.32,42.77,31.67,38,1.79,0,2020-07-12,RU
80,Tuktoyaktuk,69.45,-133.04,3.22,88,2.65,57,2020-07-12,CA
81,Bilma,18.69,12.92,38.85,23,6.79,19,2020-07-12,NE
82,Sambava,-14.27,50.17,25.3,67,5.76,44,2020-07-12,MG
83,Tiksi,71.69,128.87,13.97,51,1.78,39,2020-07-12,RU
84,Sulecin,52.44,15.12,21.0,35,4.6,0,2020-07-12,PL
85,Tias,28.96,-13.64,26.0,65,7.7,20,2020-07-12,ES
86,Penhold,52.13,-113.87,14.0,76,3.6,90,2020-07-12,CA
87,Launceston,-41.45,147.17,8.33,87,4.6,4,2020-07-12,AU
88,Traralgon,-38.18,146.53,7.22,97,1.15,43,2020-07-12,AU
89,Vardo,70.37,31.11,8.7,88,5.49,95,2020-07-12,NO
90,Papar,5.73,115.93,26.0,94,2.6,40,2020-07-12,MY
91,Namatanai,-3.67,152.43,26.96,80,2.49,62,2020-07-12,PG
92,Arraial Do Cabo,-22.97,-42.03,20.0,82,2.6,98,2020-07-12,BR
93,Camacha,33.08,-16.33,22.0,68,6.7,40,2020-07-12,PT
94,Tavda,58.04,65.27,26.57,38,3.72,8,2020-07-12,RU
95,Juneau,58.3,-134.42,13.33,93,3.6,90,2020-07-12,US
96,Tutoia,-2.76,-42.27,23.62,86,3.94,14,2020-07-12,BR
97,Torbay,47.67,-52.73,15.0,87,7.2,90,2020-07-12,CA
98,Airai,-8.93,125.41,14.88,100,1.76,99,2020-07-12,TL
99,Mpika,-11.83,31.45,25.41,31,5.86,0,2020-07-12,ZM
100,Avarua,-21.21,-159.78,22.0,88,3.6,100,2020-07-12,CK
101,Yumen,40.28,97.2,32.82,12,3.27,56,2020-07-12,CN
102,Chernyshevskiy,63.01,112.47,20.88,59,1.5,79,2020-07-12,RU
103,Sibu,2.3,111.82,26.0,94,2.6,40,2020-07-12,MY
104,Mayumba,-3.43,10.66,23.1,84,3.63,92,2020-07-12,GA
105,Cayenne,4.93,-52.33,24.0,100,2.67,75,2020-07-12,GF
106,Qaanaaq,77.48,-69.36,7.43,58,2.61,27,2020-07-12,GL
107,Narsaq,60.92,-46.05,10.0,87,1.5,99,2020-07-12,GL
108,Baghdad,33.34,44.4,43.0,17,6.7,0,2020-07-12,IQ
109,Boyolangu,-8.12,111.89,23.62,84,2.2,36,2020-07-12,ID
110,La Ronge,55.1,-105.28,17.0,82,3.6,75,2020-07-12,CA
111,Zhigansk,66.77,123.37,23.97,40,4.8,42,2020-07-12,RU
112,Baturaja,-4.13,104.17,26.63,79,1.17,26,2020-07-12,ID
113,Macia,-25.03,33.1,20.33,50,5.59,72,2020-07-12,MZ
114,Husavik,66.04,-17.34,15.0,62,2.1,40,2020-07-12,IS
115,Galle,6.04,80.22,28.29,78,4.93,94,2020-07-12,LK
116,Lavrentiya,65.58,-171.0,7.38,79,0.27,8,2020-07-12,RU
117,Thompson,55.74,-97.86,13.0,93,1.0,75,2020-07-12,CA
118,Souillac,-20.52,57.52,25.0,57,9.8,40,2020-07-12,MU
119,Atar,20.52,-13.05,35.16,32,1.08,12,2020-07-12,MR
